"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.069333335E-3,-1.945055237E0,3.450923767E0,8.963061218E0,9.799417387E0
1.202833332E-2,-1.899250488E0,3.340303802E0,9.080716553E0,9.860233010E0
2.198733331E-2,-1.789977722E0,3.293451233E0,9.311386871E0,1.003756777E1
3.194633330E-2,-1.755249939E0,3.396137695E0,9.512718201E0,1.025214422E1
4.190533335E-2,-1.654958496E0,3.464096375E0,9.574689331E0,1.031569324E1
5.186333333E-2,-1.442101135E0,3.549868011E0,9.548493805E0,1.028858360E1
6.182233331E-2,-1.401535492E0,3.680246887E0,9.415121155E0,1.020553895E1
7.178133330E-2,-1.417402496E0,3.742218018E0,9.129215698E0,9.967738198E0
8.174033335E-2,-1.270707550E0,3.691623230E0,8.849746857E0,9.672683143E0
9.169933334E-2,-1.210382996E0,3.611390076E0,8.785530396E0,9.575631029E0
1.016583333E-1,-1.471589813E0,3.649710388E0,9.043743439E0,9.862822004E0
1.116173333E-1,-1.532363434E0,3.740272064E0,9.550888824E0,1.037098116E1
1.215763333E-1,-1.172212372E0,3.825744324E0,9.945767670E0,1.072048021E1
1.315343333E-1,-8.011340332E-1,4.063150635E0,9.819729767E0,1.065730273E1
1.414933333E-1,-6.078858948E-1,4.318519592E0,9.306147766E0,1.027733054E1
1.514523333E-1,-1.453477478E-1,4.277355194E0,8.621621246E0,9.625447851E0
1.614113333E-1,-1.182540894E-1,4.012106781E0,8.173453217E0,9.105840013E0
1.713703334E-1,-8.168513489E-1,3.776945801E0,8.353828125E0,9.204293023E0
1.813293333E-1,-1.559008026E0,3.475772095E0,8.615933075E0,9.420498948E0
1.912883333E-1,-1.399140472E0,3.299887848E0,8.408913574E0,9.140934382E0
2.012473333E-1,-5.569917297E-1,3.181484070E0,8.246950378E0,8.856877058E0
2.112063333E-1,1.059796143E-1,3.258274384E0,8.390651550E0,9.001700788E0
2.211643333E-1,2.779719543E-1,3.544778595E0,8.809779968E0,9.500260353E0
2.311233333E-1,2.643502808E-1,3.801644440E0,9.355994110E0,1.010232683E1
2.410823333E-1,8.211923218E-1,3.812122650E0,9.865833893E0,1.060854912E1
2.510413333E-1,1.274599457E0,3.735032959E0,1.022538620E1,1.096054734E1
2.610003334E-1,1.214873657E0,3.841162262E0,1.026655060E1,1.102871283E1
2.709593333E-1,1.040785675E0,4.137994995E0,1.009680359E1,1.096137218E1
2.809183333E-1,8.295748901E-1,4.268523560E0,9.957144012E0,1.086522916E1
2.908773333E-1,1.071621552E0,4.220174103E0,9.699080658E0,1.063157598E1
3.008353333E-1,1.535357208E0,4.051774292E0,9.858499146E0,1.076866761E1
3.107943333E-1,1.303788757E0,4.099674683E0,9.921218719E0,1.081377725E1
3.207533333E-1,1.386416931E0,4.209845581E0,9.897717590E0,1.084480360E1
3.307123333E-1,1.403780823E0,4.264481964E0,9.906249847E0,1.087612951E1
3.406713333E-1,1.473236389E0,4.280648346E0,9.958940277E0,1.093960087E1
3.506303333E-1,1.481918335E0,4.093387756E0,9.369915161E0,1.033185440E1
3.605893333E-1,9.416917419E-1,4.437073059E0,7.064708862E0,8.395505463E0
3.705483333E-1,1.776805115E0,4.856949921E0,8.382418671E0,9.849464032E0
3.805073333E-1,2.245181122E0,5.111420746E0,9.453890533E0,1.097923069E1
3.904653333E-1,2.836002502E0,5.263504486E0,1.003887405E1,1.168445043E1
4.004243333E-1,3.233875122E0,5.027595062E0,1.023272095E1,1.185087501E1
4.103833333E-1,2.941682739E0,4.989873505E0,1.003752686E1,1.158897236E1
4.203423333E-1,2.845432892E0,5.379363556E0,9.678573303E0,1.143279589E1
4.303013333E-1,3.164120178E0,5.615722046E0,9.710307312E0,1.165495855E1
4.402603333E-1,3.632645874E0,5.770649872E0,9.928104401E0,1.204424232E1
4.502193333E-1,4.032913513E0,5.942642212E0,9.874366150E0,1.220993426E1
4.601783333E-1,4.524341583E0,5.885910187E0,9.322164459E0,1.191706154E1
4.701363333E-1,4.668491821E0,5.847290497E0,8.681945801E0,1.146131777E1
4.800953333E-1,4.742737427E0,5.886059875E0,8.420439606E0,1.131561144E1
4.900543333E-1,5.045857086E0,5.892646179E0,8.570278015E0,1.156000078E1
5.000133333E-1,5.631289673E0,6.035149841E0,8.740623779E0,1.202218620E1
5.099723333E-1,5.979914703E0,6.240373077E0,8.820856934E0,1.234945963E1
5.199313333E-1,6.061345367E0,6.718329163E0,8.724307709E0,1.256938341E1
5.298903333E-1,6.024821320E0,7.036118317E0,9.005273438E0,1.291899309E1
5.398493333E-1,5.951024780E0,7.191345520E0,9.334888000E0,1.320114693E1
5.498083333E-1,5.894741821E0,7.315736847E0,9.241781616E0,1.317871444E1
5.597663333E-1,5.844147034E0,7.528893585E0,8.835975494E0,1.299664403E1
5.697253333E-1,5.630541229E0,7.759114838E0,8.751101990E0,1.298031755E1
5.796843334E-1,5.610632629E0,8.235424347E0,8.839418335E0,1.332053787E1
5.896433333E-1,5.795797577E0,8.837622070E0,8.871451721E0,1.379845966E1
5.996023333E-1,5.794151001E0,9.373807068E0,9.097930756E0,1.429030401E1
6.095613333E-1,5.382656708E0,9.478439484E0,9.639953613E0,1.455137498E1
6.195203333E-1,4.560715942E0,9.363328857E0,1.015787659E1,1.454835090E1
6.294793334E-1,4.110003204E0,9.239386597E0,1.031534912E1,1.444523515E1
6.394373333E-1,3.724854126E0,9.232051849E0,1.014560211E1,1.421402694E1
6.493963333E-1,2.939587097E0,9.425449677E0,1.020981857E1,1.420284018E1
6.593553333E-1,2.123184814E0,9.436676331E0,1.047192352E1,1.425552371E1
6.693143333E-1,1.538350983E0,9.465865631E0,1.020143600E1,1.400137252E1
6.792733333E-1,9.256750488E-1,9.632469177E0,9.720635834E0,1.371612546E1
6.892323333E-1,3.097059631E-1,9.653126221E0,9.713301086E0,1.369769987E1
6.991913333E-1,-9.699829102E-2,9.726174316E0,9.555080109E0,1.363478754E1
7.091503333E-1,-8.801696777E-2,9.860145721E0,9.156608734E0,1.345636296E1
7.191083333E-1,-2.908451843E-1,9.972262573E0,9.082213440E0,1.349137549E1
7.290673333E-1,-6.758445740E-1,9.962532806E0,9.123078461E0,1.352550873E1
7.390263333E-1,-7.545808411E-1,9.748328247E0,8.790021057E0,1.314776658E1
7.489853333E-1,-1.050365753E0,9.629625092E0,8.302634583E0,1.275800488E1
7.589443333E-1,-1.977537689E0,9.355245667E0,8.110434265E0,1.253835798E1
7.689033333E-1,-2.881657562E0,8.827143860E0,7.910599823E0,1.219836090E1
7.788623333E-1,-3.539389801E0,8.371341705E0,7.379055176E0,1.170713874E1
7.888213333E-1,-3.988156586E0,8.096064148E0,6.686146088E0,1.123192758E1
7.987803333E-1,-4.308939514E0,7.918683014E0,6.030210114E0,1.084601007E1
8.087383333E-1,-4.427642670E0,7.713609467E0,5.480104065E0,1.044678569E1
8.186973333E-1,-4.433480530E0,7.465575256E0,4.856949921E0,9.948895720E0
8.286563333E-1,-4.513264618E0,7.251520386E0,4.077670441E0,9.464750479E0
8.386153333E-1,-4.699776764E0,7.223079529E0,3.421285400E0,9.271783717E0
8.485743333E-1,-4.922663269E0,7.169490967E0,3.099604340E0,9.232646503E0
8.585333333E-1,-4.993915100E0,6.945107574E0,2.965632935E0,9.053655944E0
8.684923333E-1,-4.960983582E0,6.730304260E0,2.662513275E0,8.774812276E0
8.784513333E-1,-4.820425873E0,6.589447174E0,2.176174622E0,8.449441144E0
8.884093333E-1,-4.669090576E0,6.442452850E0,1.682351532E0,8.132398921E0
8.983683333E-1,-4.673431549E0,6.307134247E0,1.136137390E0,7.931690426E0
9.083273333E-1,-4.573888550E0,6.233487396E0,6.641688538E-1,7.760022026E0
9.182863333E-1,-4.374054108E0,6.161187744E0,2.323168945E-1,7.559534040E0
9.282453333E-1,-4.309687958E0,5.980064392E0,8.532257080E-3,7.371204327E0
9.382043333E-1,-4.409380646E0,5.765261078E0,5.703140259E-2,7.258383123E0
9.481633333E-1,-4.526137848E0,5.545068970E0,1.830693054E-1,7.160113691E0
9.581219583E-1,-4.350852356E0,5.443430328E0,2.528242493E-1,6.973146353E0
9.680799583E-1,-3.852688293E0,5.498066711E0,1.811233521E-2,6.713588661E0
9.780389583E-1,-3.351231079E0,5.566624146E0,-1.718426514E-1,6.499814153E0
9.879979583E-1,-3.075055389E0,5.502856750E0,-2.170486450E-1,6.307496189E0
9.979569583E-1,-2.936593323E0,5.407654724E0,-2.080673218E-1,6.157077389E0
1.007915958E0,-2.696642303E0,5.277724915E0,-2.815644836E-1,5.933425532E0
1.017874958E0,-2.438129883E0,5.134772186E0,-5.734574890E-1,5.713074148E0
1.027833958E0,-2.199376373E0,5.070106659E0,-8.818162537E-1,5.596502289E0
1.037792958E0,-2.098186798E0,4.956642609E0,-1.059347076E0,5.485700504E0
1.047751958E0,-1.747915192E0,4.856351166E0,-1.171613617E0,5.292639477E0
1.057709958E0,-1.310524750E0,4.757855988E0,-1.219963074E0,5.083598983E0
1.067668958E0,-9.171427917E-1,4.591701508E0,-1.230740662E0,4.841445674E0
1.077627958E0,-5.408253479E-1,4.555776215E0,-1.339863739E0,4.779416681E0
1.087586958E0,-2.553689575E-1,4.810546417E0,-1.066831512E0,4.934034821E0
1.097545958E0,-1.616638184E-1,4.952601013E0,-2.995271301E-1,4.964283280E0
1.107504958E0,-1.204994202E-1,4.907245331E0,3.960763550E-1,4.924677992E0
1.117463958E0,8.217910767E-2,4.738995209E0,5.261558533E-1,4.768822599E0
1.127422958E0,4.140390015E-1,4.533173218E0,3.026705933E-1,4.562093511E0
1.137380958E0,7.337741089E-1,4.463567963E0,-8.053253174E-2,4.524195938E0
1.147339958E0,1.095422058E0,4.461023254E0,-1.377136230E-1,4.595611276E0
1.157298958E0,1.405876465E0,4.364474030E0,3.414399719E-1,4.598010814E0
1.167257958E0,1.653910675E0,4.375700684E0,8.084687805E-1,4.747188511E0
1.177216958E0,1.729802856E0,4.378844147E0,1.348845062E0,4.897537849E0
1.187175958E0,1.808988190E0,4.302652588E0,1.820065155E0,5.009779908E0
1.197134958E0,2.258802795E0,4.242178345E0,2.050735474E0,5.225302208E0
1.207093958E0,2.948119354E0,4.245471497E0,1.936073914E0,5.519403786E0
1.217052958E0,3.499722290E0,4.386029205E0,1.754202118E0,5.878990846E0
1.227010958E0,3.735182648E0,4.360582123E0,1.757644958E0,6.004630019E0
1.236969958E0,3.684438171E0,4.278702393E0,2.117346954E0,6.030384476E0
1.246928958E0,3.409160614E0,4.147126007E0,2.653082886E0,5.988311866E0
1.256887958E0,3.645219727E0,4.105961609E0,2.772235107E0,6.150758903E0
1.266846958E0,4.659660187E0,4.332290955E0,2.323618011E0,6.773505638E0
1.276805958E0,5.566773834E0,4.612657928E0,2.172282715E0,7.548800983E0
1.286764958E0,5.920637970E0,4.749024353E0,2.734812927E0,8.067613527E0
1.296723958E0,6.081403656E0,4.660109253E0,3.419638824E0,8.390114324E0
1.306681958E0,6.089037781E0,4.741988983E0,3.871698761E0,8.634401653E0
1.316640958E0,6.296955414E0,5.026696930E0,4.013603668E0,9.001574524E0
1.326599958E0,6.803502045E0,5.363346863E0,3.977528687E0,9.532778404E0
1.336558958E0,7.271578674E0,5.637426910E0,4.232747955E0,1.012781289E1
1.346517958E0,7.513625336E0,5.634732513E0,4.741539917E0,1.052078785E1
1.356476958E0,7.682474213E0,5.478906555E0,5.117258606E0,1.073429843E1
1.366435958E0,7.943231964E0,5.440137177E0,5.344486084E0,1.101151933E1
1.376394958E0,8.718619537E0,5.761967926E0,5.778283997E0,1.194165679E1
1.386352958E0,9.835447083E0,6.336173859E0,5.879473572E0,1.309394241E1
1.396311958E0,1.063119232E1,6.828500061E0,5.993686066E0,1.398481090E1
1.406270958E0,1.105436234E1,7.334897003E0,6.272855530E0,1.467475237E1
1.416229958E0,1.119402191E1,7.829618225E0,6.490652618E0,1.512407417E1
1.426188958E0,1.109298203E1,8.247549133E0,6.821764069E0,1.541469370E1
1.436147958E0,1.062969543E1,8.713530121E0,7.562573547E0,1.568784723E1
1.446106958E0,1.022014709E1,8.868008881E0,8.267308044E0,1.585690293E1
1.456065958E0,1.010683273E1,9.051227875E0,8.539741516E0,1.603121889E1
1.466023958E0,1.042701691E1,9.318422241E0,8.938961334E0,1.659700890E1
1.475982958E0,1.076830719E1,9.742490387E0,9.670789490E0,1.744696902E1
1.485941958E0,1.104702759E1,1.031864227E1,1.058104660E1,1.845182224E1
1.495900958E0,1.098161362E1,1.066846481E1,1.112591354E1,1.892611770E1
1.505859958E0,1.049018555E1,1.075872711E1,1.094044922E1,1.858729757E1
1.515818958E0,9.713001709E0,1.070094727E1,1.044048889E1,1.782853003E1
