"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.563333885E-4,2.202070770E0,6.027366028E0,8.030799866E0,1.027968888E1
9.683666634E-3,1.995051270E0,6.016289062E0,8.104446716E0,1.028873268E1
1.972466666E-2,1.983974304E0,6.047873383E0,8.449778595E0,1.057883192E1
2.976566664E-2,2.497256927E0,6.386768646E0,8.673862610E0,1.105725999E1
3.980666667E-2,3.089575195E0,6.697672119E0,8.600515137E0,1.133018744E1
4.984666663E-2,3.357368317E0,7.013365631E0,8.494535522E0,1.151591739E1
5.988766666E-2,3.222498779E0,6.929240570E0,8.076754303E0,1.111903023E1
6.992866663E-2,2.959046631E0,6.508315887E0,7.410040741E0,1.029673912E1
7.996966667E-2,3.056943054E0,6.044430542E0,6.702761536E0,9.529273509E0
9.000966663E-2,3.545527039E0,5.583089905E0,6.076463928E0,8.981373433E0
1.000506667E-1,3.659440155E0,5.765859833E0,5.962999878E0,9.066091187E0
1.100916666E-1,3.689377899E0,6.318959656E0,6.596332855E0,9.851516003E0
1.201326667E-1,3.515140228E0,6.760691071E0,7.166796570E0,1.046069442E1
1.301726666E-1,3.416046295E0,6.925348663E0,8.541687469E0,1.151478403E1
1.402136667E-1,3.513194275E0,6.718927917E0,1.014859589E1,1.266809081E1
1.502546666E-1,3.287763062E0,6.033652954E0,9.976902924E0,1.211416303E1
1.602956667E-1,2.853965149E0,5.477409668E0,9.689650269E0,1.149071173E1
1.703356666E-1,2.453248444E0,5.392985229E0,9.297465820E0,1.102477158E1
1.803766667E-1,2.240989838E0,5.624553680E0,8.949140167E0,1.080484842E1
1.904176666E-1,2.308200073E0,5.681435394E0,8.551417236E0,1.052298591E1
2.004586667E-1,2.194137268E0,4.986430664E0,8.166567535E0,9.816901468E0
2.104986666E-1,8.523275757E-1,3.144960022E0,7.688910828E0,8.350843404E0
2.205396667E-1,-4.769082642E-1,4.575984192E0,8.123307495E0,9.335694804E0
2.305806666E-1,-6.433621216E-1,8.125103760E0,8.894803162E0,1.206435863E1
2.406216667E-1,2.038910065E0,9.165140991E0,7.495213623E0,1.201395817E1
2.506616666E-1,3.098107452E0,7.288942566E0,4.868775330E0,9.296877257E0
2.607026667E-1,2.235301666E0,6.105952606E0,3.715872803E0,7.489121541E0
2.707436666E-1,2.118095398E0,6.377937012E0,3.688629456E0,7.666185225E0
2.807846667E-1,3.429967346E0,7.583529968E0,4.217629395E0,9.330755622E0
2.908246666E-1,5.751489716E0,8.003706207E0,4.318818970E0,1.076062936E1
3.008656666E-1,7.304809570E0,7.735913086E0,3.441194000E0,1.118241523E1
3.109066666E-1,6.410569153E0,7.885751495E0,2.793490906E0,1.053964254E1
3.209476667E-1,4.817881165E0,7.986342316E0,1.970951385E0,9.533010640E0
3.309876666E-1,2.884501648E-1,8.729546814E0,-3.248245239E-1,8.740349080E0
3.410286666E-1,-1.271306305E0,8.327183533E0,-3.915856934E-1,8.432766134E0
3.510696666E-1,2.677332458E0,5.449717255E0,-6.830296326E-1,6.110160123E0
3.611106667E-1,2.799628143E0,3.688030701E0,3.018622742E0,5.527347596E0
3.711506666E-1,1.184486847E0,6.399192810E0,7.557633820E0,9.973490195E0
3.811916666E-1,2.632276154E0,7.348967743E0,8.663085022E0,1.166127123E1
3.912326666E-1,4.647086334E0,4.874613190E0,9.768087158E0,1.186477104E1
4.012726666E-1,4.089944916E0,3.696712646E0,1.458267517E1,1.558998874E1
4.113136666E-1,2.912493439E0,3.612138519E0,1.661769333E1,1.725334444E1
4.213546666E-1,1.094523926E0,3.743565216E0,1.494851440E1,1.544895938E1
4.313956666E-1,-6.851252747E-1,3.985162811E0,8.999136200E0,9.865869025E0
4.414356666E-1,-1.631008301E0,4.945715332E0,1.247356110E0,5.355014985E0
4.514766666E-1,-1.604064331E0,6.839577026E0,-3.563190308E0,7.877129010E0
4.615176666E-1,-3.787124634E-2,5.662574615E0,-5.065017242E0,7.597406477E0
4.715586666E-1,9.680369568E-1,2.773731995E0,-4.818779297E0,5.643697249E0
4.815986666E-1,1.394200745E0,2.391127625E0,-2.133812714E0,3.494916842E0
4.916424166E-1,1.979783020E0,2.954106903E0,1.958078156E0,4.059600776E0
