"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.194999976E-3,-3.778029290E-1,1.049778693E0,4.872777164E-1,1.217460443E0
1.523600001E-2,4.710899922E-1,6.004792267E-1,2.710710704E-1,8.099262977E-1
2.527799999E-2,1.043851955E0,1.550991493E-1,5.735791111E-1,1.201114335E0
3.531899996E-2,1.490563151E0,-1.836405784E-1,2.634217429E-1,1.524760107E0
4.535999999E-2,1.960207419E0,-3.071805507E-1,-6.845452309E-1,2.098898566E0
5.540099996E-2,1.706443230E0,-7.842969757E-1,-9.891161692E-1,2.122597710E0
6.544199999E-2,1.333358712E0,-8.097627693E-1,-8.400343895E-1,1.771784121E0
7.548399997E-2,1.812575457E0,-2.311454049E-1,-8.805450690E-1,2.028353421E0
8.552500000E-2,9.642251569E-1,-1.373005173E0,1.627981782E-2,1.677837415E0
9.556599997E-2,3.994376269E-1,-1.246747122E0,9.920976645E-1,1.642615774E0
1.056070000E-1,-2.386397227E0,2.753778371E0,-2.792150724E-1,3.654606422E0
1.156490000E-1,-3.907719071E0,2.375523452E0,-1.319080980E0,4.759554039E0
1.256900000E-1,-2.590613280E0,-1.719097189E0,-2.896590182E0,4.249330182E0
1.357310000E-1,-5.569566464E-1,-1.739941051E0,-2.061428862E0,2.754466286E0
1.457720000E-1,6.044184959E-1,-3.924478653E-1,-8.188978744E-1,1.090839481E0
1.558140000E-1,8.965912905E-1,1.351436841E0,-1.881984830E-2,1.621916047E0
1.658550000E-1,-3.712338746E-1,1.528970295E0,2.625323814E-1,1.595145135E0
1.758960000E-1,-1.201946633E0,5.724272096E-1,-3.186358309E-1,1.368896421E0
1.859370000E-1,-9.113522941E-1,1.386351442E-1,-1.046398417E0,1.394536609E0
1.959790000E-1,-3.206028342E-2,1.070362061E-2,-1.176877280E0,1.177362545E0
2.060200000E-1,4.224794573E-1,-5.680950075E-2,-7.238379353E-1,8.400342659E-1
2.160610000E-1,6.148358953E-1,-8.245714277E-2,-4.067557096E-1,7.418035898E-1
2.261020000E-1,4.234652978E-1,-3.443153402E-1,-5.150017047E-1,7.504016710E-1
