"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.031083383E-3,-5.744903412E0,4.687502289E0,5.804329834E0,9.416307012E0
1.299008337E-2,-5.601052551E0,4.511767731E0,5.617667999E0,9.126118095E0
2.294908336E-2,-5.423072662E0,4.388573914E0,5.645809479E0,8.974656694E0
3.290908335E-2,-5.400918732E0,4.402494965E0,5.941145325E0,9.156915028E0
4.286808334E-2,-5.446424103E0,4.456382904E0,6.400989075E0,9.512914655E0
5.282708333E-2,-5.342689819E0,4.480632477E0,6.917714539E0,9.822177780E0
6.278608338E-2,-5.155578918E0,4.499942322E0,7.334148560E0,1.003091272E1
7.274508337E-2,-4.941823425E0,4.500241699E0,7.504344635E0,1.004932747E1
8.270408335E-2,-4.814138947E0,4.502786407E0,7.492070160E0,9.979084853E0
9.266308334E-2,-4.858297119E0,4.600533142E0,7.440876617E0,1.000672778E1
1.026230833E-1,-4.942122803E0,4.619992676E0,7.194488983E0,9.875706651E0
1.125820834E-1,-4.945865021E0,4.552483063E0,6.824308777E0,9.579032995E0
1.225410834E-1,-5.104834442E0,4.506378937E0,6.582860870E0,9.471052900E0
1.325000834E-1,-5.578000488E0,4.454886017E0,6.466852112E0,9.632251819E0
1.424590833E-1,-5.890999603E0,4.335883484E0,6.323001251E0,9.668717947E0
1.524180833E-1,-5.746100922E0,4.412823486E0,6.081253967E0,9.458981802E0
1.623780833E-1,-5.460345154E0,4.616998901E0,6.038442993E0,9.359211603E0
1.723370834E-1,-4.951702881E0,4.915478210E0,6.247109070E0,9.365236740E0
1.822960834E-1,-4.327201538E0,5.239853668E0,6.255791016E0,9.236647706E0
1.922550834E-1,-3.843856659E0,5.366490326E0,5.952521667E0,8.888586312E0
2.022140833E-1,-3.460204468E0,5.246739349E0,5.627697144E0,8.436365562E0
2.121730833E-1,-3.513044586E0,5.141657867E0,5.460195465E0,8.282020430E0
2.221320834E-1,-4.065545654E0,5.049748993E0,5.627846832E0,8.584945330E0
2.320920834E-1,-4.564009094E0,4.780009918E0,6.571634216E0,9.320142172E0
2.420504167E-1,-4.351151733E0,4.304299164E0,7.595954132E0,9.754897840E0
